================ FRAME 0 ================
Msg No | RT Address | Sub Address | Word Count | Tx/Rx
35     | 25/26      | 2           | 11         | TX   
36     | 15         | 11          | 9          | TX   
37     | 25         | 11          | 27         | TX   
38     | 26         | 11          | 27         | TX   
39     | 6          | 11          | 4          | TX   
40     | 10         | 11          | 4          | TX   
41     | 25/26      | 8           | 32         | TX   
42     | 21         | 8           |  2         | TX   
43     | 22         | 0           | 2          | TX   
44     | 25         | 7           | 16         | RX   
45     | 25         | 26          | 16         | RX   
46     | 25/26      | 18          | 10         | TX   
47     | 25/26      | 19          | 10         | TX   
48     | 26         | 5           | 1          | RX   
49     | 26         | 5           | 1          | TX   
50     | 6 (A)      |  -          | 0          | modecode(TX)
51     | 6 (B)      |  -          | 0          | modecode(TX)   

============================================================

================ FRAME 2 ================
Msg No | RT Address | Sub Address | Word Count | Tx/Rx
------------------------------------------------------
1      | 31 (A)     |   -         | 1          | modecode(TX)   
2      | 31 (B)     |   -         | 1          | modecode(TX)   
5      | 25/26      | 16          | 32         | RX   
6      | 21         | 1           | 30         | RX   
7      | 22         | 1           | 30         | RX   
8      | 25/26      | 4           | 24         | RX   
9      | 25/26      | 1           | 10         | RX   
10     | 25/26      | 3           | 11         | RX   
11     | 11         | 1           | 14         | TX   
12     | 11         | 1           | 5          | RX   
13     | 25/26      | 6           | 11         | RX   
14     | 16         | 25          | 32         | TX   
15     | 7          | 2           | 3          | TX   
16     | 7          | 3           | 32         | RX   
17     | 25/26      | 12          | 25         | RX   
18     | 5          | 2           | 4          | TX   
19     | 7          | 5           | 32         | RX   
20     | 16         | 1           | 9          | RX   
21     | 22         | 7           | 21         | TX   
22     | 21         | 7           | 21         | TX   
23     | 15,2       |TXSA-6,RXSA-4| 19         | RT-RT   
24     | 25/26      | 12          | 14         | RX   
25     | 7          | 1           | 7          | TX   
26     | 7          | 2           | 29         | RX   
27     | 10         | 7           | 1          | RX   
28     | 22         | 2           | 21         | RX   
29     | 25/26      | 14          | 14         | RX   
30     | 7          | 1           | 17         | RX   
31     | 25/26      | 10          | 32         | TX   
32     | 10         | 4           | 5          | RX   
33     | 25/26      | 2           | 11         | TX   
34     | 25/26      | 15          | 14         | RX   
35     | 25/26      | 17          | 30         | RX   
36     | 25/26      | 18          | 25         | RX   
37     | 25         | 7           | 16         | RX   
38     | 25         | 26          | 16         | RX   
39     | 25/26      | 18          | 10         | TX   
40     | 25/26      | 19          | 10         | TX   
41     | 26         | 5           | 1          | RX   
42     | 26         | 5           | 1          | TX   
43     | 5 (A)      | -           | 0          | modecode(TX)   
44     | 11(A)      | -           | 0          | modecode(TX)   
45     | 5 (B)      |  -          | 0          | modecode(TX)   
46     | 11 (B)     |  -          | 0          | modecode(TX)   

============================================================

================ FRAME 3 ================
Msg No | RT Address | Sub Address | Word Count | Tx/Rx
------------------------------------------------------
1      | 31 (A)     |  -          | 1          | modecode(TX)   
2      | 31 (B)     |  -          | 1          | modecode(TX)  
5      | 25/26      | 16          | 32         | RX   
6      | 21         | 1           | 30         | RX   
7      | 25/26      | 4           | 24         | RX   
8      | 22         | 1           | 30         | RX   
9      | 25/26      | 1           | 10         | RX   
10     | 25/26      | 3           | 11         | RX   
11     | 11         | 1           | 14         | TX   
12     | 16         | 1           | 32         | TX   
13     | 26         | 4           | 32         | TX   
14     | 7          | 3           | 32         | TX   
15     | 7          | 5           | 32         | RX   
16     | 5          | 2           | 32         | RX   
17     | 26         | 5           | 1          | RX   
18     | 25         | 4           | 32         | TX   
19     | 15,2       |TXSA-10,RXSA10|32         | RT-RT   
20     | 6          | 1           | 17         | RX   
21     | 25/26      | 8           | 27         | RX   
22     | 7          | 1           | 7          | TX   
23     | 7          | 2           | 7          | RX   
24     | 10         | 7           | 1          | RX   
25     | 22         | 2           | 21         | RX   
26     | 25/26      | 10          | 27         | RX   
27     | 7          | 1           | 17         | RX   
28     | 10         | 5           | 9          | RX   
29     | 7          | 6           | 30         | RX   
30     | 25/26      | 2           | 11         | TX   
31     | 7          | 8           | 30         | RX   
32     | 25         | 3           | 19         | TX   
33     | 11         | 11          | 4          | TX   
34     | 25/26      | 9           | 32         | TX   
35     | 21         | 8           | 2          | TX   
36     | 22         | 0           | 0          | TX   
37     | 25         | 7           | 16         | RX   
38     | 25         | 26          | 16         | RX   
39     | 25/26      | 18          | 10         | TX   
40     | 25/26      | 19          | 10         | TX   
41     | 6          | 10          | 10         | RX   
42     | 26         | 5           | 1          | TX   
43     | 16         | 11          | 17         | TX   
44     | 21 (A)     | -           | 0          | modecode(TX)
45     | 22 (A)     | -           | 0          | modecode(TX)   
46     | 21 (B)     | -           | 0          | modecode(TX)   
47     | 22 (B)     | -           | 0          | modecode(TX)

============================================================

================ FRAME 4 ================
Msg No | RT Address | Sub Address | Word Count | Tx/Rx
------------------------------------------------------
1      | 31 (A)     |  -          | 1          | modecode(TX)
2      | 31 (B)     |  -          | 1          | modecode(TX)
5      | 25/26      | 16          | 32         | RX   
6      | 21         | 1           | 30         | RX   
7      | 22         | 1           | 30         | RX   
8      | 25/26      | 4           | 24         | RX   
9      | 25/26      | 1           | 10         | RX   
10     | 21         | 1           | 26         | TX   
11     | 22         | 1           | 26         | TX   
12     | 25/26      | 3           | 11         | RX   
13     | 11         | 1           | 14         | TX   
14     | 21         | 5           | 18         | TX   
15     | 22         | 5           | 18         | TX   
16     | 25/26      | 12          | 25         | RX   
17     | 6          | 2           | 30         | RX   
18     | 5          | 2           | 4          | TX   
19     | 7          | 5           | 32         | RX   
20     | 15         | 20          | 32         | TX   
21     | 15         | 21          | 32         | TX   
22     | 5          | 30          | 1          | RX   
23     | 25/26      | 12          | 14         | RX   
24     | 7          | 1           | 7          | RX   
25     | 6          | 9           | 17         | RX   
26     | 15         | 2           | 24         | RX   
27     | 25/26      | 14          | 14         | RX   
28     | 7          | 2           | 29         | RX   
29     | 10         | 7           | 1          | RX   
30     | 25/26      | 10          | 32         | TX   
31     | 22         | 2           | 21         | RX   
32     | 25/26      | 6           | 32         | TX   
33     | 7          | 1           | 17         | RX   
34     | 25/26      | 15          | 14         | RX   
35     | 10         | 6           | 10         | RX   
36     | 25/26      | 2           | 11         | TX   
37     | 13         | 11          | 4          | TX   
38     | 25         | 7           | 16         | RX   
39     | 25         | 26          | 16         | RX   
40     | 25/26      | 18          | 10         | TX   
41     | 25/26      | 19          | 10         | TX   
42     | 25/26      | 7           | 16         | TX   
43     | 25/26      | 9           | 16         | TX   
44     | 26         | 5           | 1          | RX   
45     | 26         | 5           | 1          | TX   
46     | 16 (A)     |  -          | 0          | modecode(TX)
47     | 14 (A)     |  -          | 0          | modecode(TX)
48     | 16 (B)     |  -          | 0          | modecode(TX)
49     | 14 (B)     |  -          | 0          | modecode(TX)   

============================================================

================ FRAME 5 ================
Msg No | RT Address | Sub Address | Word Count | Tx/Rx
------------------------------------------------------
1      | 31 (A)     |   -         | 1          | modecode(TX)   
2      | 31 (B)     |    -        | 1          | modecode(TX)   
5      | 25/26      | 16          | 32         | RX   
6      | 21         | 1           | 30         | RX   
7      | 25/26      | 4           | 24         | RX   
8      | 22         | 1           | 30         | RX   
9      | 5          | 2           | 32         | RX   
10     | 25/26      | 1           | 10         | RX   
11     | 25/26      | 3           | 11         | RX   
12     | 11         | 1           | 14         | TX   
13     | 7          | 4           | 32         | RX   
14     | 11         | 4           | 7          | TX   
15     | 21         | 4           | 7          | TX   
16     | 22         | 4           | 7          | TX   
17     | 25/26      | 11          | 6          | RX   
18     | 7          | 5           | 32         | RX   
19     | 16         | 4           | 2          | RX   
20     | 16         | 2           | 30         | RX   
21     | 13         | 7           | 12         | RX   
22     | 15,13      |TXSA-5,RXSA-9| 4          | RT-RT   
23     | 15,13      |TXSA-8,RXSA-8| 32         | RT-RT   
24     | 7          | 1           | 7          | TX   
25     | 25/26      | 8           | 27         | RX   
26     | 7          | 2           | 29         | RX   
27     | 10         | 7           | 1          | RX   
28     | 22         | 2           | 1          | RX   
29     | 25/26      | 10          | 27         | RX   
30     | 7          | 1           | 17         | RX   
31     | 13,15      |TXSA-13,RXSA-3| 24        | RT-RT
32     | 6          | 8           | 27         | RX   
33     | 6          | 15          | 12         | RX   
34     | 10         | 3           | 14         | RX   
35     | 25/26      | 2           | 11         | TX   
36     | 21         | 8           | 2          | TX   
37     | 22         | 0           | 2          | TX   
38     | 6          | 16          | 22         | TX   
39     | 25         | 7           | 16         | RX   
40     | 25         | 26          | 16         | RX   
41     | 25/26      | 18          | 10         | TX   
42     | 25/26      | 19          | 10         | TX   
43     | 26         | 5           | 1          | RX   
44     | 26         | 5           | 1          | TX   
45     | 25 (A)     |             | 0          | modecode(TX)
46     | 26 (A)     |             | 0          | modecode(TX)
47     | 25 (B)     |             | 0          | modecode(TX)
48     | 26 (B)     |             | 0          | modecode(TX)

============================================================

================ FRAME 6 ================
Msg No | RT Address | Sub Address | Word Count | Tx/Rx
------------------------------------------------------
1      | 31 (A)     | -           | 1          | modecode(TX)
2      | 31 (B)     | -           | 1          | modecode(TX)
5      | 25/26      | 16          | 32         | RX   
6      | 21         | 1           | 30         | RX   
7      | 22         | 1           | 30         | RX   
8      | 25/26      | 4           | 24         | RX   
9      | 5          | 1           | 7          | RX   
10     | 25/26      | 1           | 10         | RX   
11     | 7          | 6           | 28         | TX   
12     | 25/26      | 3           | 11         | RX   
13     | 11         | 1           | 14         | TX   
14     | 25/26      | 6           | 11         | RX   
15     | 15         | 4           | 20         | TX   
16     | 13,15      |TXSA-15,RXSA-5| 25        | RT-RT   
17     | 6          | 1           | 16         | TX   
18     | 25/26      | 12          | 25         | RX   
19     | 7          | 5           | 32         | TX   
20     | 7          | 3           | 32         | RX   
21     | 5          | 2           | 4          | TX   
22     | 7          | 5           | 32         | RX   
23     | 16         | 4           | 20         | TX   
24     | 16         | 26          | 32         | TX   
25     | 15,13      |TXSA-6,RXSA2| 19          | RT-RT   
26     | 25/26      | 12          | 14         | RX   
27     | 15         | 4           | 25         | RX   
28     | 25         | 9           | 10         | RX   
29     | 7          | 1           | 7          | TX   
30     | 7          | 2           | 29         | RX   
31     | 25/26      | 14          | 14         | RX   
32     | 10         | 7           | 1          | RX   
33     | 21         | 2           | 21         | RX   
34     | 25/26      | 10          | 32         | TX   
35     | 7          | 1           | 17         | RX   
36     | 26         | 2           | 5          | RX   
37     | 25/26      | 15          | 14         | RX   
38     | 10         | 4           | 7          | TX   
39     | 25/26      | 2           | 11         | TX   
40     | 25/26      | 17          | 30         | RX   
41     | 25/26      | 18          | 25         | RX   
42     | 25         | 7           | 16         | RX   
43     | 25         | 26          | 16         | RX   
44     | 25/26      | 18          | 10         | TX   
45     | 25/26      | 19          | 10         | TX   
46     | 26         | 5           | 1          | RX   
47     | 26         | 5           | 1          | TX   
48     | 13 (A)     |             | 0          | modecode(TX)   
49     | 10 (A)     |             | 0          | modecode(TX)   
50     | 13 (B)     |             | 0          | modecode(TX)
51     | 13 (B)     |             | 0          | modecode(TX)

============================================================

================ FRAME 7 ================
Msg No | RT Address | Sub Address | Word Count | Tx/Rx
------------------------------------------------------
1      | 31 (A)     |   -         | 1          | modecode(TX)
2      | 31 (B)     |   -         | 1          | modecode(TX)
5      | 25/26      | 16          | 32         | RX   
6      | 21         | 2           | 30         | RX   
7      | 25/26      | 1           | 10         | RX   
8      | 22         | 1           | 30         | RX   
9      | 25/26      | 1           | 10         | RX   
10     | 6          | 4           | 9          | TX   
11     | 25/26      | 3           | 11         | RX   
12     | 11         | 1           | 14         | TX   
13     | 5          | 1           | 7          | TX   
14     | 6          | 17          | 6          | TX   
15     | 7          | 6           | 28         | TX   
16     | 7          | 5           | 32         | RX   
17     | 5          | 2           | 32         | RX   
18     | 21         | 3           | 12         | TX   
19     | 22         | 4           | 12         | TX   
20     | 21         | 6           | 2          | RX   
21     | 25/26      | 8           | 27         | RX   
22     | 26         | 6           | 2          | RX   
23     | 7          | 1           | 7          | TX   
24     | 7          | 2           | 29         | RX   
25     | 10         | 7           | 1          | RX   
26     | 25/26      | 10          | 27         | RX   
27     | 22         | 2           | 21         | RX   
28     | 7          | 1           | 17         | RX   
29     | 10         | 10          | 10         | RX   
30     | 7          | 6           | 30         | RX   
31     | 25/26      | 2           | 11         | TX   
32     | 5          | 23          | 4          | RX   
33     | 21         | 8           | 2          | TX   
34     | 22         | 0           | 2          | TX   
35     | 25/26      | 14          | 1          | TX   
36     | 10         | 2           | 27         | RX   
37     | 7          | 10          | 14         | RX   
38     | 7          | 7           | 30         | RX   
39     | 21,2       |TXSA-2,RXSA-16| 13         | RT-RT   
40     | 22         |TXSA-2,RXSA-15| 13         | RT-RT   
41     | 25         | 7           | 16         | RX   
42     | 25         | 26          | 16         | RX   
43     | 25/26      | 18          | 10         | TX   
44     | 25/26      | 19          | 10         | TX   
45     | 15         | 3           | 20         | TX   
46     | 16         | 3           | 21         | TX   
47     | 16         | 10          | 10         | RX   
48     | 26         | 5           | 1          | RX   
49     | 26         | 5           | 1          | TX   
50     | 7 (A)      |             | 0          | modecode(TX)
51     | 7 (B)      |             | 0          | modecode(TX)

============================================================
